24.5,15.7,100.0,0.0,41.0,21.0,7.1,75.3
35.4,16.8,100.0,0.0,33.0,14.3,39.8,37.4
14.6,47.0,100.0,0.0,28.7,11.3,31.6,44.1
46.4,14.1,100.0,0.0,35.0,16.8,40.4,21.0
51.0,25.3,100.0,0.0,28.0,22.4,20.6,32.7
38.3,36.5,100.0,0.0,9.3,64.3,18.6,14.4
19.4,29.3,100.0,0.0,46.5,48.5,23.5,15.0
36.6,16.0,100.0,0.0,32.3,47.0,30.4,23.7
26.0,23.2,100.0,0.0,10.6,64.4,27.3,27.6
45.2,9.1,100.0,0.0,35.7,24.5,38.9,25.3
36.4,22.2,100.0,0.0,23.2,38.4,32.7,31.1
26.0,18.3,100.0,0.0,14.9,38.4,56.6,28.7
23.5,31.1,100.0,0.0,19.8,47.5,38.1,23.8
18.6,14.4,100.0,0.0,38.8,37.9,45.2,30.5
27.1,19.4,100.0,0.0,40.0,31.0,42.5,17.0
29.4,19.0,100.0,0.0,20.2,25.0,59.6,31.3
56.6,24.2,100.0,0.0,29.6,16.5,29.5,20.8
20.4,27.9,100.0,0.0,40.6,19.4,10.2,63.4
36.1,30.3,100.0,0.0,24.0,45.4,20.0,26.5
33.3,31.0,100.0,0.0,49.5,20.2,32.0,15.0
38.1,16.7,100.0,0.0,43.3,23.0,46.2,15.2
53.1,12.5,100.0,0.0,47.1,17.0,27.1,16.3
30.6,14.3,100.0,0.0,48.0,25.7,28.4,34.0
22.8,33.7,100.0,0.0,35.9,45.4,27.6,17.6
33.0,12.4,100.0,0.0,33.0,25.5,44.0,31.3
43.1,13.0,100.0,0.0,49.5,17.7,38.4,18.4
42.4,13.5,100.0,0.0,40.4,14.3,38.1,32.7
23.2,25.3,100.0,0.0,17.3,60.6,41.0,16.8
27.6,27.1,100.0,0.0,24.5,29.7,17.2,62.3
42.0,16.5,100.0,0.0,48.5,11.3,43.2,22.5
27.8,25.5,100.0,0.0,25.8,19.2,29.1,54.6
19.4,23.5,100.0,0.0,36.0,20.6,41.0,42.4
17.2,28.8,100.0,0.0,31.6,38.5,36.5,33.0
33.0,16.3,100.0,0.0,33.3,36.7,27.0,34.3
29.2,21.4,100.0,0.0,18.6,56.0,35.6,18.9
45.5,11.2,100.0,0.0,34.3,15.5,49.0,24.2
44.8,20.6,100.0,0.0,28.6,25.0,45.5,18.8
39.4,21.4,100.0,0.0,10.2,54.0,35.9,22.7
54.1,18.0,100.0,1.0,41.2,16.2,23.0,30.7
46.6,23.0,100.0,0.0,42.9,15.8,36.3,19.4
37.9,14.1,100.0,0.0,19.4,48.5,43.0,20.4
25.3,15.3,100.0,0.0,38.0,41.6,43.9,11.3
32.3,29.0,100.0,0.0,35.7,41.2,36.3,12.7
41.6,18.9,100.0,0.0,34.0,29.9,35.4,15.5
22.2,39.4,100.0,0.0,35.0,16.7,37.4,43.8
34.0,20.2,100.0,0.0,62.2,10.1,30.9,25.3
33.3,20.6,100.0,1.0,38.0,31.0,29.6,27.7
33.7,16.0,100.0,0.0,38.4,28.1,23.0,46.5
28.3,32.7,100.0,0.0,38.1,11.2,19.0,57.0
33.0,32.6,100.0,0.0,35.1,12.8,20.4,36.1
58.9,21.8,100.0,0.0,29.3,20.6,30.9,11.7
32.7,19.0,100.0,1.0,39.8,32.7,41.6,16.7
32.1,8.3,100.0,0.0,31.6,57.1,25.3,32.0
46.9,33.7,100.0,0.0,44.4,11.0,30.0,17.2
44.7,27.0,100.0,1.0,32.0,10.2,11.0,50.0
32.7,39.6,100.0,0.0,40.8,21.0,34.0,24.0
13.0,72.4,100.0,0.0,19.8,26.0,42.2,18.2
